"","name_text","id","more_info","desc","emails","category","logo","fb"
"11","Adelpos","grpl_2be038a5d159bf753fceb26cfdf596c2","?mode=form&id=2be038a5d159bf753fceb26cfdf596c2&tab=profile","To promote the faith of Christianity among young adults by encouraging the members to meditate on the word of God and have fellowship in Christ.","adelpos@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/fec/fecf7cbabaea2a3cddecdc03435eda67.png","https://www.facebook.com/seattleadelpos"
"12","Advanced Robotics at the University of Washington","grpl_918f9dec53fe5d36c1f98f5136f2ae7d","?mode=form&id=918f9dec53fe5d36c1f98f5136f2ae7d&tab=profile","To promote the robotics community at the University of Washington, and to compete in the RoboMaster Competition. Additionally, we aim to create an across-campus community that works together on a large scale project in a semi-corporate atmosphere. ","robomstr@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/3fd/3fdceeaa0d111c16e8f3d63c4bac9b31.png","https://www.facebook.com/advancedroboticsUW/"
"13","Aerial Robotics Club","grpl_f365b501f1e9833ca0cf8c504e37d11c","?mode=form&id=f365b501f1e9833ca0cf8c504e37d11c&tab=profile","The purpose of this organization to promote the development of engineering skills through STEM work pertaining to multi-rotor drones. The Aerial Robotics Club is structured primarily to compete in inter-university competitions with a secondary focus of hosting multi-drone choreography performances, allowing for a collaboration between engineering and art. Aerial Robotics Club is an opportunity for students to engage with emerging drone technology outside of the lab setting. ",NA,"ENGINEERING","https://uws-community.symplicity.com/files/e01/e0199c5d3f7e5b44384962313db4bd0f.jpg",NA
"14","African Student Association","grpl_2f302fcce440ec1463beb73c6d7af070","?mode=form&id=2f302fcce440ec1463beb73c6d7af070&tab=profile","To reach out to Africans on campus and beyond and bring them educational, cultural, and community enrichment.","uwasa@uw.edu","CULTURAL / INTERNATIONAL","https://uws-community.symplicity.com/files/d53/d532259f3611d6373f1924ce7df98b87.jpg","https://www.facebook.com/asauw/"
"15","AIESEC in Seattle","grpl_26b6771768df4a002e44ad6ec01fa36d","?mode=form&id=26b6771768df4a002e44ad6ec01fa36d&tab=profile","AIESEC functions as an international platform for students to explore and develop their leadership potential by facilitating international exchanges between 120+ countries & territories in the form of internships and volunteer experiences. Our mission statement is ""We strive to achieve peace and fulfillment of humankind's potential"" ","aiesecer@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/803/8035d923f504da170970ca79768c16ed.png","https://www.facebook.com/aiesecus"
"16","AIGA, the professional association for design | UW chapter","grpl_5e260344fd093628f3326a162996513a","?mode=form&id=5e260344fd093628f3326a162996513a&tab=profile","As the profession’s oldest and largest professional membership organization for design—with 70 chapters and more than 25,000 members—we advance design as a professional craft, strategic advantage, and vital cultural force. From content that defines the global practice to events that connect and catalyze, we work to enhance the value and deepen the impact of design across all disciplines on business, society, and our collective future.","aigauw09@uw.edu","ACADEMIC","https://uws-community.symplicity.com/files/e0c/e0c1a3064ca4954166bf99b524cb1158.png",NA
"17","Al-Maghrib Ambassadors","grpl_3604e5b44c0428dfc982c1bfc852fef2","?mode=form&id=3604e5b44c0428dfc982c1bfc852fef2&tab=profile","It shall be the purpose of this organization to unite the students of AlMaghrib Institute at the University of Washington, to help host AlMaghrib seminars and to encourage members to give back to their communities from what they learn from AlMaghrib.","ruhma206@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/4a1/4a128b613228822ebf840019cb2dcfed.jpg",NA
"18","Algorithmic Trading Club","grpl_9ab9bced3514bd8b2e0e18da8a3c7977","?mode=form&id=9ab9bced3514bd8b2e0e18da8a3c7977&tab=profile","The Algorithmic Trading Club is a collaborative community for students who are interested in the financial market, learning computational skills in finance and risk management, all the while exploring professional networks. ","finegin@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/0bc/0bc3a88ea412c407042c5866b7921cc9.jpg","https://www.facebook.com/UW-Financial-Engineering-Club-UWFEC-592421630915304/"
"19","Alliance for Equal Representation in Medicine","grpl_6364bed0a4d3f45cd5b1fc929e320cb3","?mode=form&id=6364bed0a4d3f45cd5b1fc929e320cb3&tab=profile","The mission of AFERM is to promote diversity within the University of Washington School of Medicine (UWSOM) for the purpose of providing culturally competent and representative future physicians for all patients and communities.","afermuw@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/2b3/2b3a3a2f62418fcfb2fa4067c69bafcd.png",NA
"20","Alpha Chi Omega","grpl_ba21e3c819afe6a32110585ac379f5d9","?mode=form&id=ba21e3c819afe6a32110585ac379f5d9&tab=profile","Alpha Chi Omega inspires and encourages its members to achieve the highest moral, cultural, and intellectual level in the art of daily living.","alphachi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/c2b/c2b9c0f8dd2baf6239b9682efa91b0e6.jpg","https://www.facebook.com/pages/UW-Alpha-Chi-Omega/129379750441299"
"21","Alpha Delta Phi Fraternity","grpl_9964a3732044fceffb4dc9b5645856ba","?mode=form&id=9964a3732044fceffb4dc9b5645856ba&tab=profile","The objectives of THE ALPHA DELTA PHI are the cultivation of character, learning, and enduring friendships.","eells@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/f7b/f7b097b229a1ae9ea878de74a3567698.png",NA
"22","Alpha Delta Pi","grpl_ec8144b191469032ccdf135915cabe6a","?mode=form&id=ec8144b191469032ccdf135915cabe6a&tab=profile","Alpha Delta Pi is the first secret society for women. Providing women with a well rounded college experience.","adpiuw@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/c04/c0489ba9dbadc12b926bcbf6e48d178f.jpeg",NA
"23","Alpha Epsilon Delta Pre-Medical Honor Society","grpl_2ac7277359b7b65aee5157c0651106b4","?mode=form&id=2ac7277359b7b65aee5157c0651106b4&tab=profile","We are dedicated to encouraging and recognizing excellence in pre-medical scholarship, bringing similarly minded people together, promoting community service, and empowering students to make informed decisions in the pursuit of healthcare professions.","aed@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/0b4/0b48b778ad7a6b1e15fe2bbabd8b4259.jpg","https://www.facebook.com/aeduw"
"24","Alpha Epsilon Phi","grpl_693ffae3391992652fdc4361a0c6040e","?mode=form&id=693ffae3391992652fdc4361a0c6040e&tab=profile","The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our Jewish founders.","uwaephi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/5ef/5ef572a1d1d82bcc85c0a2e108c8857f.jpg","https://www.facebook.com/AEPhiUW/?fref=ts"
"25","Alpha Epsilon Pi","grpl_b5756a18e0122bc4c5328d824777bc86","?mode=form&id=b5756a18e0122bc4c5328d824777bc86&tab=profile","To provide a Fraternity experience for young men on campus, an experience of both academic and social balance, in hopes of developing the next leaders of tomorrow.","aepi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/37c/37c4fb95dcc7630041c9d2ebacc36aca.jpeg","University of Washington AEPi"
"26","Alpha Gamma Delta","grpl_8f170168dcdfbe29411de5b179d1703e","?mode=form&id=8f170168dcdfbe29411de5b179d1703e&tab=profile","Alpha Gamma Delta is a women's fraternity based on the ideals of sisterhood, scholarship, and service.","agd@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/674/674fb15cd6269fc38bc72f9a01727228.jpg",NA
"27","alpha Kappa Delta Phi","grpl_72cdd8d56ea9848cadd49a84884882bd","?mode=form&id=72cdd8d56ea9848cadd49a84884882bd&tab=profile","The purpose of this Asian American interest sorority is to promote sisterhood, scholarship, leadership and Asian awareness in the university and community, while encouraging the expression of the individual. The sorority is composed of highly motivated women with diverse backgrounds, interests and fields of study. Each woman, however, shares a strong bond of love, friendship and sisterhood. With a supportive network of sisters, each woman can strive to fulfill her personal, academic and career goals.","akdphi@uw.edu","FRATERNITIES & SORORITIES - UGC","https://uws-community.symplicity.com/files/866/866902c99b228ccf98fa6edb61caf277.jpg","https://www.facebook.com/uwakdphi"
"28","Alpha Kappa Psi Business Fraternity","grpl_6485f489491ede717a812d498593cfb4","?mode=form&id=6485f489491ede717a812d498593cfb4&tab=profile","To bring together students who share an interest in business and provide them with opportunities to learn and grow through professional development, philanthropy, social events, and more.","akappsi@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/394/394dc618031df85f2669cb3a81d311af.png","https://www.facebook.com/akpsiuw/"
"29","Alpha Omega Campus Ministry","grpl_e058267ee33d51adcf3a517e1d1d1233","?mode=form&id=e058267ee33d51adcf3a517e1d1d1233&tab=profile","The purpose of this organization is to create a fun and safe environment for students to fellowship, and discuss Christianity and the bible.","alphao@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/a9f/a9f669ea583835bf18fc6c722a80ffd1.jpg","https://www.facebook.com/seattlecampusministry/"
"30","Alpha Omicron Pi","grpl_a634990fa6258cef2487750ce27775a7","?mode=form&id=a634990fa6258cef2487750ce27775a7&tab=profile","To encourage a spirit of Fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty; to strive for and support the interests of the colleges and universities in which chapters are installed and in no way to disregard, injure, or sacrifice those interests for the sake of prestige or advancement of the fraternity, or any of its chapters. ","uwaoii@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/0e2/0e210d55079fd90e6f3968052f84be18.jpg","https://www.facebook.com/AOIIUpsilon/?fref=ts"
"31","Alpha Phi","grpl_0a17b6825a9861af928cc7fda0705910","?mode=form&id=0a17b6825a9861af928cc7fda0705910&tab=profile","Alpha Phi is an organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity, and advocating service among its members.","alphaphi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/c66/c66d898899b800f9cc3bfae08f85f977.jpg","https://www.facebook.com/UwAlphaPhi"
"32","Alpha Phi Alpha Fraternity Incorporated","grpl_98bd6af816e79f81d5c4461a8bea8ab0","?mode=form&id=98bd6af816e79f81d5c4461a8bea8ab0&tab=profile","ALPHA PHI ALPHA FRATERNITY, INC. DEVELOPS LEADERS, PROMOTES BROTHERHOOD AND ACADEMIC EXCELLENCE, WHILE PROVIDING SERVICE AND ADVOCACY FOR OUR COMMUNITIES.",NA,"FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/ae3/ae364c94767f06bb64af43941e1b13e4.png","Instagram: uwalphas"
"33","Alpha Phi Omega - Gamma Alpha","grpl_5b71dedb4b4a3cab404c8de2e8854322","?mode=form&id=5b71dedb4b4a3cab404c8de2e8854322&tab=profile","The UW Chapter of Alpha Phi Omega (a national co-ed service fraternity) is dedicated to fostering leadership, friendship, and service in our members so as to develop as servant leaders in the community. ","apo@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/b16/b16c9913f591284e59520a8d76b62e44.png","facebook.com/UWapo"
"34","Alpha Sigma Phi","grpl_42a92b5a08f2faec3d6010fccc897ed4","?mode=form&id=42a92b5a08f2faec3d6010fccc897ed4&tab=profile","To better the man.","alphasig@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/e01/e019ae27b101bd344aa5fe74603f34f6.png","https://www.facebook.com/pages/UW-Alpha-Sigma-Phi/161212323947100?fref=ts"
"35","Alpha Tau Omega","grpl_7b220d2218afe6d91732b42985df3e49","?mode=form&id=7b220d2218afe6d91732b42985df3e49&tab=profile","We strive to provide men of solid character a complete and rewarding college experience. Here at ATO we pride ourselves on continuing this tradition through social, academic, and personal growth. We are a strongly tied team of ambitious and genuine men working together to enrich and shape our college livelihood.","uwato@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/e5b/e5b0e01631836d21ca9a0f8ad5b26ef0.png","https://www.facebook.com/uwato/"
"36","Alpha Theta Delta","grpl_6100ddc20895b5703e2b6a334116c0a1","?mode=form&id=6100ddc20895b5703e2b6a334116c0a1&tab=profile","A professional network empowering members of all backgrounds with a solid foundation in interdisciplinary design.","alphadt@uw.edu","FRATERNITIES & SORORITIES - OTHER","https://uws-community.symplicity.com/files/5d4/5d40bb6a7f585b7d0a2239952fe6985a.png","https://www.facebook.com/AlphaThetaDeltaUW"
"37","Alpha Xi Delta Sorority ","grpl_89cbc05d9ba160886fc6aba7f32bd4cd","?mode=form&id=89cbc05d9ba160886fc6aba7f32bd4cd&tab=profile","Part of the Recognition Agreement between AXiD and UW, would love to become more affiliated with UW!","alphaxi@uw.edu","FRATERNITIES & SORORITIES - IFC / PH","https://uws-community.symplicity.com/files/993/993861bdf90f4c8ec33b1f907681bd33.jpg","UW Alpha Xi Delta"
"38","American Academy of Developmental Medicine and Dentistry, University of Washington Chapter","grpl_b3ae58f9073a233c5c5c0cffd25165ab","?mode=form&id=b3ae58f9073a233c5c5c0cffd25165ab&tab=profile","Our mission is to improve the quality of healthcare for individuals with neurodevelopmental disorders and intellectual disabilities. The most valuable contribution we can make is to contribute our expertise where it will have the most significant impact - the universities and healthcare centers where healthcare professionals are trained. Furthermore, we can enhance our contribution by working collaboratively with advocacy organizations and associations that serve our patients.","aadmd1@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/3ce/3ce8490b9f222b338111bd0041ac04c9.png","https://www.facebook.com/UW-AADMD-Chapter-400118330341427/?hc_ref=SEARCH&fref=nf"
"39","American Fisheries Society University of Washington Student Chapter","grpl_1b778464de4c6ff6afdeb678afff78c1","?mode=form&id=1b778464de4c6ff6afdeb678afff78c1&tab=profile","The mission of the Chapter is to: Advance the conservation and intelligent management of aquatic resources within a context of sound ecological principles, gather and disseminate information pertaining to aquatic science and fisheries management.","afsuw@uw.edu","SCIENCES","https://uws-community.symplicity.com/files/478/47877f8e2347029f38bd4b052f5b3bcd.png",NA
"40","American Indian Science and Engineering Society-UW Chapter ","grpl_035f8594bbf93cc6681f2799d2133639","?mode=form&id=035f8594bbf93cc6681f2799d2133639&tab=profile","The mission of the American Indian Science and Engineering Society (AISES)-UW Chapter is to substantially increase the representation of American Indians, Alaskan Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples in North America   in science, technology, engineering and math (STEM) studies and careers. We aim to combine traditional native values with the STEM fields.","aisesuw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/d43/d434f8c79524134551d335927c27bd4c.gif","https://www.facebook.com/aisesuw/"
"41","American Institute of Aeronautics and Astronautics at UW, Student Branch","grpl_05de467122d1e3d934b21bc0a2cb9e3e","?mode=form&id=05de467122d1e3d934b21bc0a2cb9e3e&tab=profile","The Objective of this organization is to further the purposes and programs of the American Institute of Aeronautics and Astronautics at the University of Washington.","aiaauw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/fb5/fb54e6527e2393a060121b8883d5576d.png",NA
"42","American Institute of Chemical Engineers UW Student Chapter","grpl_4a3ec08ba183a09cff1c8627d84a1c64","?mode=form&id=4a3ec08ba183a09cff1c8627d84a1c64&tab=profile","It shall be the purpose of this organization to promote a network of local and national chemical engineers.","aiche@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/449/449975d36731eada55dde7daa47dbcd2.jpg",NA
"43","American Marketing Association, UW Chapter","grpl_5389ceb8bf8624db960ea86afc71f75b","?mode=form&id=5389ceb8bf8624db960ea86afc71f75b&tab=profile","The UW American Marketing Association provides a professional and fun environment that promotes proactive and passionate involvement. It is the place where marketers are made.","amaclub@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/c4e/c4e670651414fff1f40204764014f732.jpg",NA
"44","American Medical Student Association, University of Washington Medical Chapter","grpl_880ddcd9741549d61b86112ef1d3d5e1","?mode=form&id=880ddcd9741549d61b86112ef1d3d5e1&tab=profile","We are committed to involving members in the social, moral and ethical obligations of the profession of medicine and contributing to the welfare medical and premedical students.","amsa@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/af8/af837c76297421b60d256f2620f547b2.jpg","https://www.facebook.com/AMSANational"
"45","American Medical Women's Association","grpl_18e3a5ed5bf23ce76dd66b8026b7c064","?mode=form&id=18e3a5ed5bf23ce76dd66b8026b7c064&tab=profile","To be an advocates for women's health and encourage women in the medical field through networking, workshops, and fundraising. ",NA,"HEALTH SCIENCES","https://uws-community.symplicity.com/files/e90/e9071eb8b4bf0c319498368d7dcd5554.jpg","https://www.facebook.com/UDubAMWA/"
"46","American Meteorological Society Student Chapter at the UW","grpl_97bafed26f9cbd2b93db39af56b6db1a","?mode=form&id=97bafed26f9cbd2b93db39af56b6db1a&tab=profile","The purpose of the AMS at UW is to promote the education of the atmospheric and related sciences as well as to provide an environment where persons interested in such can share experiences through social, volunteer, and professional activities.","weather@uw.edu","SCIENCES","https://uws-community.symplicity.com/files/8b2/8b2781e19cd5281fad7f44aa94b193f1.png","https://www.facebook.com/groups/uwams/"
"47","American Mock World Health Organization","grpl_ada7b30230e7d18100e6b6be49d8267e","?mode=form&id=ada7b30230e7d18100e6b6be49d8267e&tab=profile","AMWHO UW aims to stand as a chapter of the national model-WHO organization, where students can explore health policy/administration and its global impact.","amwho@uw.edu","HEALTH SCIENCES","https://uws-community.symplicity.com/files/027/02716fe9e8d9ad0beaaaf880cb08354a.jpg",NA
"48","American Pharmacists Association: University of Washington Student Chapter","grpl_22da260f9d255a1e9eca955add95a0ce","?mode=form&id=22da260f9d255a1e9eca955add95a0ce&tab=profile","The American Pharmacists Association (APhA), established in 1852, is the largest pharmacy association in the United States, serving more than 62,000 members. APhA-ASP provides student pharmacists with opportunities for professional growth, opportunities to improve patient care, and to envision and advance the future of pharmacy. By joining a professional organization, you can help ease the transition into pharmacy school. APhA-ASP will help you meet new people, learn about current issues facing pharmacy practice, participate in career development opportunities, and personal and professional growth.","apauwsc@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/ff0/ff0f0469a4e79be99abfb691a33664e9.jpg",NA
"49","American Public Works Association University of Washington Chapter","grpl_c4a3c7a40b7e8b7596be70283f405236","?mode=form&id=c4a3c7a40b7e8b7596be70283f405236&tab=profile","To connect UW Civil and Environmental Engineering students with professional engineering world through the Washington chapter of APWA. ","apwa@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/098/0988f9eb3da2a26e260d417844a11f79.jpg","https://www.facebook.com/groups/157202237966762/"
"50","American Society of Civil Engineers","grpl_7484856e2cfc704b660799733e39098c","?mode=form&id=7484856e2cfc704b660799733e39098c&tab=profile","To enhance the personal and professional development of civil engineering students and to expose those students to the professional civil engineering community.","asce@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/c7c/c7cfcad31be5547d46d2d401a7bd941e.png","https://www.facebook.com/groups/asceuw/"
"51","American Society of Consultant Pharmacists","grpl_241d73f5f46d4ab30f9f5f99773cf3ab","?mode=form&id=241d73f5f46d4ab30f9f5f99773cf3ab&tab=profile","ASCP is an international professional association that provides leadership, education, advocacy, and resources to advance the practice of consultant and senior care pharmacy. Its mission is to empower pharmacists to enhance the quality of care for all older persons through the appropriate use of medications and the promotion of healthy aging. ","ascpuw@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/b23/b23586a17255feaee889e0a062c938e5.jpg","https://www.facebook.com/ASCPUW"
"52","American Society of Health-System Pharmacists","grpl_29298b1e72d8c5d2c24debd5a21d025c","?mode=form&id=29298b1e72d8c5d2c24debd5a21d025c&tab=profile","The American Society of Health-System Pharmacists (ASHP) is one of the world’s largest pharmacy organizations, and is at the forefront of the expanding role of a clinical pharmacist in the health-system pharmacy practice setting. 
In the 2016-2017 academic year, our chapter is focusing on the expansion of our award-winning shadowing program. However, we continue to prioritize residency education and the development of clinical student pharmacists through tours of local residency programs, mock residency interviews, clinical skills competitions, and residency roundtable discussions with local residents and residency coordinators.","gilbko@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/57d/57dce31b5e08ec7204ec56ecfff5523c.gif","https://www.facebook.com/UWSSHP?fref=ts"
"53","American Society of Landscape Architects at University of Washington ","grpl_26739d623fead66dbf897db5f6845d30","?mode=form&id=26739d623fead66dbf897db5f6845d30&tab=profile","It shall be the purpose of this organization to synthesize the needs and 				desires of our student body within the larger academic and professional 				spheres.  ASLA at UW speaks on behalf of the student body with faculty, 				aligns mentors from the professional world with like-minded students, and 			organizes social and community service activities to better leverage our 				role as designers for social and environmental good. Our focuses include: 				heightened cohesion and wellbeing within the department, increased 				outreach and community service, and in general bringing us all around the 				table to more closely examine how we as students can navigate our 				academic and professional futures.",NA,"ACADEMIC","https://uws-community.symplicity.com/files/f10/f1081dc50f4de4f993698ab10663d64b.png",NA
"54","American Society of Mechanical Engineers - University of Washington Chapter","grpl_75bf1c977974e9dfd9964b89b9f84a49","?mode=form&id=75bf1c977974e9dfd9964b89b9f84a49&tab=profile","We shall create a more cohesive and enjoyable atmosphere for the students in the Mechanical Engineering department through: Volunteer opportunities to bring their knowledge to young minds, discussions with grad students about lab study opportunities, and recruitment opportunities with industry related companies.","asmeuw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/512/51282848786ed45e9e7b0152f46ff32e.jpeg",NA
"55","American Student Dental Association, UW Chapter","grpl_c059f929fad07cc152777b12f2b6afd9","?mode=form&id=c059f929fad07cc152777b12f2b6afd9&tab=profile","We foster a culture of unity, support, and excellence to enhance dental student life at the University of Washington School of Dentistry. ","asda@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/c0b/c0b3746d46df3c344e551ad8fcdc2699.jpg","https://www.facebook.com/UWASDA/"
"56","American Water Resources Association","grpl_0757e62922333548ab90432dbf677062","?mode=form&id=0757e62922333548ab90432dbf677062&tab=profile","To share ideas within the water resources community at the University of Washington and to provide students with opportunities to interact with water resources professionals.","awra@uw.edu","ENVIRONMENTAL","https://uws-community.symplicity.com/files/3f3/3f385cc85bbc8e08f60ef17a2107d00b.gif","https://www.facebook.com/American-Water-Resources-Association-111474035541444/"
