"","name_text","desc_text","emails","category","logo"
"39","American Fisheries Society University of Washington Student Chapter","The mission of the Chapter is to: Advance the conservation and intelligent management of aquatic resources within a context of sound ecological principles, gather and disseminate information pertaining to aquatic science and fisheries management.","afsuw@uw.edu","SCIENCES","https://uws-community.symplicity.com/files/478/47877f8e2347029f38bd4b052f5b3bcd.png"
"40","American Indian Science and Engineering Society-UW Chapter ","The mission of the American Indian Science and Engineering Society (AISES)-UW Chapter is to substantially increase the representation of American Indians, Alaskan Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples in North America   in science, technology, engineering and math (STEM) studies and careers. We aim to combine traditional native values with the STEM fields.","aisesuw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/d43/d434f8c79524134551d335927c27bd4c.gif"
"41","American Institute of Aeronautics and Astronautics at UW, Student Branch","The Objective of this organization is to further the purposes and programs of the American Institute of Aeronautics and Astronautics at the University of Washington.","aiaauw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/fb5/fb54e6527e2393a060121b8883d5576d.png"
"42","American Institute of Chemical Engineers UW Student Chapter","It shall be the purpose of this organization to promote a network of local and national chemical engineers.","aiche@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/449/449975d36731eada55dde7daa47dbcd2.jpg"
"43","American Marketing Association, UW Chapter","The UW American Marketing Association provides a professional and fun environment that promotes proactive and passionate involvement. It is the place where marketers are made.","amaclub@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/c4e/c4e670651414fff1f40204764014f732.jpg"
"44","American Medical Student Association, University of Washington Medical Chapter","We are committed to involving members in the social, moral and ethical obligations of the profession of medicine and contributing to the welfare medical and premedical students.","amsa@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/af8/af837c76297421b60d256f2620f547b2.jpg"
"45","American Medical Women's Association","To be an advocates for women's health and encourage women in the medical field through networking, workshops, and fundraising.",NA,"HEALTH SCIENCES","https://uws-community.symplicity.com/files/e90/e9071eb8b4bf0c319498368d7dcd5554.jpg"
"46","American Meteorological Society Student Chapter at the UW","The purpose of the AMS at UW is to promote the education of the atmospheric and related sciences as well as to provide an environment where persons interested in such can share experiences through social, volunteer, and professional activities.","weather@uw.edu","SCIENCES","https://uws-community.symplicity.com/files/8b2/8b2781e19cd5281fad7f44aa94b193f1.png"
"47","American Mock World Health Organization","AMWHO UW aims to stand as a chapter of the national model-WHO organization, where students can explore health policy/administration and its global impact.","amwho@uw.edu","HEALTH SCIENCES","https://uws-community.symplicity.com/files/027/02716fe9e8d9ad0beaaaf880cb08354a.jpg"
"48","American Pharmacists Association: University of Washington Student Chapter","The American Pharmacists Association (APhA), established in 1852, is the largest pharmacy association in the United States, serving more than 62,000 members. APhA-ASP provides student pharmacists with opportunities for professional growth, opportunities to improve patient care, and to envision and advance the future of pharmacy. By joining a professional organization, you can help ease the transition into pharmacy school. APhA-ASP wil…","apauwsc@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/ff0/ff0f0469a4e79be99abfb691a33664e9.jpg"
"49","American Public Works Association University of Washington Chapter","To connect UW Civil and Environmental Engineering students with professional engineering world through the Washington chapter of APWA.","apwa@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/098/0988f9eb3da2a26e260d417844a11f79.jpg"
"50","American Society of Civil Engineers","To enhance the personal and professional development of civil engineering students and to expose those students to the professional civil engineering community.","asce@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/c7c/c7cfcad31be5547d46d2d401a7bd941e.png"
"51","American Society of Consultant Pharmacists","ASCP is an international professional association that provides leadership, education, advocacy, and resources to advance the practice of consultant and senior care pharmacy. Its mission is to empower pharmacists to enhance the quality of care for all older persons through the appropriate use of medications and the promotion of healthy aging.","ascpuw@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/b23/b23586a17255feaee889e0a062c938e5.jpg"
"52","American Society of Health-System Pharmacists","The American Society of Health-System Pharmacists (ASHP) is one of the world’s largest pharmacy organizations, and is at the forefront of the expanding role of a clinical pharmacist in the health-system pharmacy practice setting. 

In the 2016-2017 academic year, our chapter is focusing on the expansion of our award-winning shadowing program. However, we continue to prioritize residency education and the development of clinical studen…","gilbko@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/57d/57dce31b5e08ec7204ec56ecfff5523c.gif"
"53","American Society of Landscape Architects at University of Washington ","It shall be the purpose of this organization to synthesize the needs and 				desires of our student body within the larger academic and professional 				spheres.  ASLA at UW speaks on behalf of the student body with faculty, 				aligns mentors from the professional world with like-minded students, and 			organizes social and community service activities to better leverage our 				role as designers for social and environmental good. Our f…",NA,"ACADEMIC","https://uws-community.symplicity.com/files/f10/f1081dc50f4de4f993698ab10663d64b.png"
"54","American Society of Mechanical Engineers - University of Washington Chapter","We shall create a more cohesive and enjoyable atmosphere for the students in the Mechanical Engineering department through: Volunteer opportunities to bring their knowledge to young minds, discussions with grad students about lab study opportunities, and recruitment opportunities with industry related companies.","asmeuw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/512/51282848786ed45e9e7b0152f46ff32e.jpeg"
"55","American Student Dental Association, UW Chapter","We foster a culture of unity, support, and excellence to enhance dental student life at the University of Washington School of Dentistry.","asda@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/c0b/c0b3746d46df3c344e551ad8fcdc2699.jpg"
"56","American Water Resources Association","To share ideas within the water resources community at the University of Washington and to provide students with opportunities to interact with water resources professionals.","awra@uw.edu","ENVIRONMENTAL","https://uws-community.symplicity.com/files/3f3/3f385cc85bbc8e08f60ef17a2107d00b.gif"
"57","American Water Works Association-Water Environment Federation Student Chapter","The purpose of the Chapter has three aspects. First, the Chapter will support and promote students’ development in both the professional and academic realms. Second, the Chapter will foster connections between students and  the professional engineering and science community.  Lastly, the Chapter will promote fun and interesting activities to keep students involved and interested.","awwawef@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/311/3115d0d964c2fcb90615375b3829fa36.jpg"
"58","Amnesty International UW","Amnesty International works to uphold the global integrity of human rights through grassroots organization. Using The Universal Declaration of Human Rights as a guide, AIUW seeks to raise awareness of limit human rights abuses and infringements both domestic and abroad by means of political pressure and education of our peers.","amnesty@uw.edu","POLITICAL / SOCIAL ACTION","https://uws-community.symplicity.com/files/68a/68a8c21b0a6ea9ee2ee53465be26fd0f.jpg"
"59","Ancient Chinese Association","The purpose of Ancient Chinese Association is to recognize and promote ancient Chinese traditions and culture. This association will not be limited to only Chinese people, but to all gender and races in University of Washington. There will also be educational purposes applied such as ancient Chinese history, fashion, etc.","acauw@uw.edu","CULTURAL / INTERNATIONAL","https://uws-community.symplicity.com/files/081/081ec391c0dc0bb58029e6a9484b7c22.jpg"
"60","Anime Discovery Project","To educate about Japanese culture through visual media.","adp@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/879/87908521e25db0d3c324b92efa0b8116.jpg"
"61","Anti Cinema Cinema Club","For appreciating underappreciated movies, and for fun and bonding",NA,"RECREATION","https://uws-community.symplicity.com/files/fb9/fb983b3876df0ff34ff0ac7533794f67.bmp"
"62","Arab Student Association at The University of Washington","The Arab Student Association at the University of Washington aims to unite and serve the Arab community on campus. The ASA shall act as a bridge between the Arab community and non-Arab community by educating the general populace about Arab culture and heritage. We are committed to acceptance and peace as we aim to serve both Arabs and non-Arabs through our events and mission to enrich our campus with diversity.",NA,"CULTURAL / INTERNATIONAL","https://uws-community.symplicity.com/files/553/5535b1c8e5347aba0c91ee6b93dae980.jpg"
"63","ArLiSNAP","ArLiISNAP is a forum for exploring the creative arts, with a special focus on the intersections between art, librarianship, and information. ArLiSNAP is open to all members of the UW iSchool community.","arlisnap@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/9d9/9d94967cd8399317919277bb7feb8fd8.jpg"
"64","Armenian Student Association at the University of Washington","This RSO is to promote and educate Armenian culture. Bringing Armenian students and Armenians of all ages in the community to gather and others who want to contribute to the society It is a new way of teaching Armenian culture through youth!","armsocuw@uw.edu","CULTURAL / INTERNATIONAL","https://uws-community.symplicity.com/files/e29/e29454d69e641bc072bc6b13cd6bb664.jpg"
"65","Arnold Air Society","Arnold Air Society is a professional, honorary service organization advocating the support of aerospace power.","matheson@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/545/54503b244393e387f4915be4a28ee939.png"
"66","Artificial Intelligence and Morality Society","Through a series of discussions based on films, tv series, novels, we will start to pinpoint what it means to
possess moral values and how we can apply that to AI’s. The aim of this club is to gain a deeper
understanding of what it means to have a moral conscious and ambitiously develop a plan or idea to apply this
to AI’s.",NA,"SPECIAL INTEREST","https://uws-community.symplicity.com/files/745/74557b72df39f2b210de612c3984dc3a.jpg"
"67","Ascend UW","The purpose of Ascend UW is to cultivate students of Pan-Asian descent into potential business leaders in the greater Seattle area. Our focus is to help members network with professionals, develop their soft skills and guide them towards success as future business leaders.","uwascend@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/af2/af28c466af05eefed45d1ed350c09d55.png"
"68","Asian American Christian Fellowship","To reach into the collegiate community, primarily to those who are Asian Pacific Americans, with the life changing message of Jesus Christ","uwaacf@gmail.com","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/6b1/6b17c160a58a1388a7650ed872483c17.png"
"69","Asian American Intervarsity Christian Fellowship","Outreaching to the greater Asian American community on campus with the intent of engaging students in the Gospel of Jesus Christ by emphasizing the development of Asian American ethnic identity and creating community.","aaiv@uw.edu","RELIGIOUS / SPIRITUAL","https://uws-community.symplicity.com/files/961/9613af0d58049a2f0d55abffecbdc255.jpg"
"70","Asian Americans in the Media","Asian Americans in the Media is a platform for young Asian American artists, that love to create and express. We aim to create a space for Asian Americans to collaborate and grow together, in their artistic abilities and endeavors. Whether its taking a workshop together, hosting speakers and panels, or going on shoots together, we want to build a community that empowers Asian American artists and their talents. We also want to spark chang…","aamedia@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/d00/d001e934f47c7f4c6b870899b0de446f.png"
"71","Asian Business Student Organization","ABSA strives to help students utilize their cultural backgrounds as strengths in the business world while providing them with the resources and connections necessary to succeed.","absa@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/568/568832661ff5992b07a143ef802a0731.png"
"72","Asian Pacific American Medical Student Association","Our mission is to represent Asian Pacific Islander American concerns and aspirations in the health care community at the University of Washington.","apamsa@uw.edu","MEDICAL / DENTAL / NURSING / PHARMACY","https://uws-community.symplicity.com/files/d8a/d8a645679beed2d11e5c4d503918144f.png"
"73","Asian/Pacific American Law Students Association","The Asian/Pacific American Law Students Association (APALSA) was formed to organize, support, and promote the concerns within Asian and Pacific Islander minorities in the legal profession and to increase ethnic diversity and awareness in the law school and legal profession.","apalsa@uw.edu","LAW","https://uws-community.symplicity.com/files/179/17951aacd7112b079e50fd06e01c0d9a.png"
"74","Asians and Pacific Islanders Cares about Mental Health","1.	To raise awareness while reducing stigma around mental health in API communities via workshops, events etc.
2.	Transforming narratives of trauma and pain into ones of strength and resilience.
3.	To connect the UW API community with the greater-Seattle API community to foster community education, engagement, and ultimately, empowerment.","apicares@uw.edu","SPECIAL INTEREST","https://uws-community.symplicity.com/files/78f/78fba2c72110b33c23adb516ee048dd0.png"
"75","Association for Computing Machinery","The purpose of UW ACM is to connect CSE students with peers, faculty, staff, and industry, and provide students with the resources and skills they need to succeed. UW ACM acts as a gateway for students to make a difference in the department.","acm-officers@cs.washington.edu","ENGINEERING","https://uws-community.symplicity.com/files/e5b/e5b9ca547601e23b3136b57f2004199d.png"
"76","Association for Computing Machinery Women","ACM-W supports, celebrates, and advocates internationally for the full engagement of women in all aspects of the computing field, providing a wide range of programs and services to ACM members and working in the larger community to advance the contributions of technical women.","acmwuw@uw.edu","ENGINEERING","https://uws-community.symplicity.com/files/de6/de60ee57b071203049c087fec5229488.jpg"
"77","Association for Women in Communications","The purpose of AWC is to connect students on our campus who are interested in any field associated with a Communications or Journalism degree with professionals in the workforce through monthly meetings, workshops, work site tours. We work closely with the AWC Professional Chapter.","uwawc@uw.edu","ACADEMIC","https://uws-community.symplicity.com/files/541/54112057b6d69459a4e87e4b8fe9eb3a.png"
"78","Association for Women in Mathematics Student Chapter at UW","The Chapter is organized and will be operated for educational and scientific purposes to promote the following: 

an increased knowledge of and greater interest in the mathematical sciences, including pure and applied mathematics, statistics, and their applications; 

a greater understanding of the contributions of women in the mathematical sciences; 

and mentoring and encouraging women and girls as they prepare for careers in the …","awmsc@uw.edu","SCIENCES","https://uws-community.symplicity.com/files/598/5980e32eb6971b9a6602cf8d7f7623d4.png"
"79","Association of Black Business Students","To recruit, assist, organize, and in any other way promote the interest and success of business students and for those interested in business related careers.","uwabbs@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/934/934fafcc6fcceeb0e21e652bdc105697.png"
"80","Association of Information Management Students","To foster a diverse, positive, open, and collaborative environment within the MSIM community. As well as to provide professional development to build future leaders in industry.","ainfoms@uw.edu","GRADUATE / PROFESSIONAL","https://uws-community.symplicity.com/files/e7c/e7cce723d4de071ee7809db41804829a.png"
"81","Association of Latino Professionals for America","ALPFA is a bridge between the two resulting in thousands of college students in paid professional internships and careers.  ALPFA develops the next generation of professionals via experiential leadership development and mentoring.","uwalpfa@uw.edu","BUSINESS","https://uws-community.symplicity.com/files/807/807293ccb41e6e3b67b40616b8a14447.jpg"
"82","Association of Library and Information Science Students","ALISS is the official student government organization for Library & Information Science students at the University of Washington.","aliss@uw.edu","GRADUATE / PROFESSIONAL","https://uws-community.symplicity.com/files/2df/2dfc02aa26e07edcd3ab644d8419987c.jpg"
"83","Association of Minority Professionals","To create a space for students who come from diverse and multicultural backgrounds and provide them with resources and opportunities to advance their professional skills. The goal is to create a collaborative and welcoming environment for students to share their experiences regarding their professional and academic backgrounds, and to inform students of their resources and opportunities as a minority student.",NA,"SPECIAL INTEREST","https://uws-community.symplicity.com/files/d5f/d5ffddc292ffbc364da6d724944d8f9b.png"
"84","ASUW Arts and Entertainment","The mission of ASUW Arts and Entertainment is to improve the quality of campus life through programming that focuses on educating and celebrating the arts. We provide exclusive entertainment opportunities to UW students that engages them with the greater art community. Through our programming, we expose students to what the UW has to offer outside of the classroom and build campus community.
Over the years we’ve done some concerts with…","asuwaedr@uw.edu","ASSOCIATED STUDENTS UNIVERSITY OF WASHINGTON (ASUW)","https://uws-community.symplicity.com/files/733/7333c936e55db9eb34672f8d4b19fa5e.jpg"
"85","ASUW Bike Shop","We are a full service shop and provide many, many more services and products (helmet, light/reflective gear, fenders, etc.) than the ones listed above; stop by or give us a call to find out more! We are happy to special order parts or extend recommendations for further services we may not provide. Services are handled on a first come, first serve basis; no appointments necessary.","asuwbike@uw.edu","ASSOCIATED STUDENTS UNIVERSITY OF WASHINGTON (ASUW)","https://uws-community.symplicity.com/files/d32/d32a2f50cc19dbdf3917d355126f9289.png"
"86","ASUW Board of Directors","The ASUW Board of Directors is the final overseeing body of the Associated Students of the University of Washington. There are 13 seats on the Board of Directors. Minutes from meetings are posted online along with all bills that we pass, you can find the link below. 8 of the 12 seats are elected by the students at the end of each academic year. There are three hired seats on the Board of Directors. These seats are hired rather then electe…","asuwbd@uw.edu","ASSOCIATED STUDENTS UNIVERSITY OF WASHINGTON (ASUW)","https://uws-community.symplicity.com/files/fed/fed2172be92d65a90e1d07fe006d69d0.jpg"
